task_id,client_folder_name,task_name,status,trainer_user_id,actual_video_duration,final_duration_secs,task_overlap_count,overlap_severity,segment_a_array_index,segment_a_phase_index,segment_a_start,segment_a_end,segment_a_start_sec,segment_a_end_sec,segment_b_array_index,segment_b_phase_index,segment_b_start,segment_b_end,segment_b_start_sec,segment_b_end_sec,overlap_start_sec,overlap_end_sec,overlap_seconds,segment_a_caption,segment_b_caption
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,0,0,00:00.000,00:27.933,0.000,27.933,1,1,00:05.440,00:11.666,5.440,11.666,5.440,11.666,6.226,"Both hands reach for and pick up a yellow napkin from the pile of colorful napkins, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table and withdraw.",Both hands fold the bottom edge of the yellow napkin upwards twice to meet in the middle on the table.
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,13,13,00:59.567,01:31.533,59.567,91.533,14,14,01:05.500,01:11.083,65.500,71.083,65.500,71.083,5.583,"Both hands reach to the left and pick up a yellow napkin from the pile of colorful napkins, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table beside the folded pink napkin and withdraw.","The right hand folds the bottom edge of the green napkin upwards again, carries it, and places it onto the stack of folded napkins while the left hand rests idle."
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,20,20,01:31.533,02:02.767,91.533,122.767,26,26,01:56.500,02:02.083,116.500,122.083,116.500,122.083,5.583,"Both hands reach to the left and pick up a green napkin from the table, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table on top of the folded yellow napkin and the folded pink one and withdraw.","The right hand grasps the folded green napkin, lifts it, and places it onto the stack of folded napkins on the table while the left hand rests idle."
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,28,28,02:02.767,02:33.000,122.767,153.000,29,29,02:09.000,02:14.417,129.000,134.417,129.000,134.417,5.417,"Both hands reach to the left and pick up a green napkin from the table, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table on top of the folded yellow napkin and the folded pink one, beside the folded green napkin, and withdraw.","The right hand grasps the folded green napkin, lifts it, and places it onto the stack of folded napkins on the table while the left hand rests idle."
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,28,28,02:02.767,02:33.000,122.767,153.000,32,32,02:21.454,02:26.840,141.454,146.840,141.454,146.840,5.386,"Both hands reach to the left and pick up a green napkin from the table, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table on top of the folded yellow napkin and the folded pink one, beside the folded green napkin, and withdraw.","The right hand grasps the folded green napkin, lifts it, and places it onto the stack of folded napkins on the table while the left hand rests idle."
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,13,13,00:59.567,01:31.533,59.567,91.533,17,17,01:18.166,01:23.550,78.166,83.550,78.166,83.550,5.384,"Both hands reach to the left and pick up a yellow napkin from the pile of colorful napkins, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table beside the folded pink napkin and withdraw.","Both hands fold the green napkin in half, lift the folded napkin, and place it onto the stack of folded napkins on the table."
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,0,0,00:00.000,00:27.933,0.000,27.933,2,2,00:11.666,00:17.000,11.666,17.000,11.666,17.000,5.334,"Both hands reach for and pick up a yellow napkin from the pile of colorful napkins, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table and withdraw.","Both hands fold the right edge of the yellow napkin to the left twice to complete the fold, and the right hand rests on the folded napkin."
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,0,0,00:00.000,00:27.933,0.000,27.933,4,4,00:20.333,00:25.666,20.333,25.666,20.333,25.666,5.333,"Both hands reach for and pick up a yellow napkin from the pile of colorful napkins, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table and withdraw.",Both hands grasp the bottom edge of the green napkin and fold it upwards twice on the table.
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,6,6,00:27.933,00:59.567,27.933,59.567,11,11,00:52.466,00:57.600,52.466,57.600,52.466,57.600,5.134,"Both hands reach to the left and pick up a pink napkin from the pile of colorful napkins, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table beside the folded yellow napkin and withdraw.","Both hands fold the bottom edge of the pink napkin upwards, and the right hand carries the folded napkin to the stack of folded napkins while the left hand rests idle."
019e1288-2ff2-7cc1-b01d-ed29f71f93b9,f7d9b126-1357-4d84-a3c4-e47dab35becf,fold and place table napkins,SUBMITTED,5188,146.84,146.84,31,critical,6,6,00:27.933,00:59.567,27.933,59.567,10,10,00:47.333,00:52.466,47.333,52.466,47.333,52.466,5.133,"Both hands reach to the left and pick up a pink napkin from the pile of colorful napkins, pull it open, and spread it flat on the table. Both hands fold the napkin continuously till it forms a small rectangular shape. Both hands lift the folded napkin and place it on the right side of the table beside the folded yellow napkin and withdraw.",Both hands grasp the side edges of the pink napkin and fold them inwards toward the center on the table.
