task_id,cover_id,severity,macro_array_index,macro_phase_index,macro_start_sec,macro_end_sec,macro_duration_sec,child_count,child_array_indices,child_start_sec,child_end_sec,child_span_sec,coverage_ratio,macro_caption,child_captions
019e09ed-3609-714e-b2c4-b0b1d745487e,CG-000001,high,2,2,29.744,43.804,14.06,2,"5,6",32.5,41.916,9.416,0.67,"The right hand lifts the tall clear bottle containing a black liquid while the left hand holds the tall clear bottle containing a black liquid, and then the left hand releases the tall clear bottle containing a black liquid and reaches to pick a black cap and places the black cap on the tall clear bottle containing a black liquid and twists it in an anticlockwise direction to tighten it. And both hands place the tall clear bottle on the counter and lift both hands off the tall clear bottle containing a black liquid beside the bottle containing a brown liquid.","The left hand places the small clear glass bottle in the corner of the counter while the right hand stays idle. || The left hand grasps the clear glass bottle containing dark liquid while the right hand picks up the black plastic pump lid, places it onto the bottle, and twists it to tighten."
019e09ed-3609-714e-b2c4-b0b1d745487e,CG-000002,critical,3,3,43.804,54.766,10.962,2,"8,9",45.333,54.75,9.417,0.859,"The right picks up a red cap, and both hands hold the cap, and then the right releases the red cap and picks up a red-labeled bottle while the left hand places the red cap on the red-labeled bottle and twists it in an anticlockwise direction to tighten it. Both hands then place the bottle on the counter next to the tall clear bottle containing a black liquid and release the bottle.","The left hand grasps the large clear glass bottle containing reddish liquid while the right hand picks up the small red cap, places it onto the bottle, and twists it to tighten. || The left hand carries the large clear glass bottle containing reddish liquid to the corner of the counter and sets it down."
019e09ed-3609-73f6-b025-e62f04907a49,CG-000003,critical,7,7,48.333,80.75,32.417,2,"8,9",60.0,77.667,17.667,0.545,"The left hand picks up a black cable. The right hand repeatedly loops the black data cable around the fingers of the left hand, which holds the growing coil steady.","Both hands grasp and lift the grey data cable from the white table, and the right hand begins wrapping the cable around the left hand's fingers while the left hand holds the starting end steady. || The right hand repeatedly loops the grey data cable around the fingers of the left hand, which holds the forming coil."
019e09ed-3608-7be5-92f2-d808b5928711,CG-000004,critical,11,11,63.75,94.667,30.917,2,"9,10",63.75,80.0,16.25,0.526,The left hand picks up another glass cup. Both hands rub and rinse the glass cup under the running water. The right hand places the cup on the edge of the sink next to the cleaned cups while the left hand picks up another cup.,  ||  
019e09ed-360a-75ab-a2fe-cfe7d4c96091,CG-000005,high,5,5,46.333,65.667,19.334,2,"6,11",55.0,65.333,10.333,0.534,"The left hand picks up a dirty white plate from the counter and brings it under the running water, the right hand scrubs the plate with the yellow sponge, and the left hand places the clean plate into the grey dish drying rack.","The left hand picks up a dirty white plate from the counter and brings it under the running water, the right hand scrubs the plate with the yellow sponge, and the left hand places the clean plate into the grey dish drying rack. || "
019e09ed-360a-75e1-b489-c74642b1025c,CG-000006,high,3,3,18.55,36.1,17.55,2,"4,5",25.666,34.834,9.168,0.522,"Lower both hands, and then the right hand grasps and unplugs a white charger from the white power strip, and the left hand grasps the charger body, while the right hand wraps the attached white cable around the charger body, while the left hand holds the charger.", || 
019e09ed-3607-713b-9492-6e55169e6c62,CG-000007,critical,2,2,14.8,34.0,19.2,3,"3,4,5",16.667,33.083,16.416,0.855,"Both hands move to the right over the light blue pajama shirt on the bed. While the left hand presses the left side of the pajamas, the righ thand fasten the buttons from top to bottom, then both hands smooth it at the bottom.","The right hand folds the right sleeve of the patterned pajama shirt inwards, and the left hand folds the left sleeve inwards. || Both hands grasp the bottom hem of the patterned pajama shirt, fold it upwards twice, and lift the bundled fabric from the bed. || Both hands place the folded patterned pajama shirt back onto the bed, lift it, and carry it to the left side of the bed to release it."
019e09ed-3607-7038-8ddc-baef65f0cc3c,CG-000008,critical,6,6,0.0,76.333,76.333,6,"0,1,2,3,4,5",0.0,76.167,76.167,0.998,"Both hands lower down from the upper shelf to the table to reach towards the pink towel, grasp it, fold it over itself into a neat rectangular stack, and place it on the table. Then both hands reach for two yellow towels and two light blue ones. They fold them all the same way and place them on the table. Then, both hands reach upwards for the green tray, lower it onto the table, and place all folded towels inside the tray. Then both hands return the tray to the upper shelf.","Both hands lower down to reach out and grasp the pink towel lying on the table, fold it over itself to form a compact rectangular stack, and place it back onto the table. || Both hands reach towards the yellow towel, grasp it, fold it over itself into a neat rectangular stack, and place it onto the table, then both hands reach for two yellow towels and two light blue ones. They fold them all the same way and place them on the table. Then, both hands reach upwards for the green tray, lower it onto the table and place all folded towels inside the tray. Then bpth hands return the tray back to the upper shelf. || Both hands lift the blue towel and fold its edges inward, the left hand folds the left side to the right, and both hands fold the bottom edge up to the top to form a rectangular stack, adjust it, and release it on the table. || The left hand grasps the folded blue towel while the right hand grasps the folded pink towel, the left hand places the blue towel onto the folded yellow towel, the right hand places the pink towel on top of the blue towel, and both hands grasp the sides of the combined towel stack. || Both hands lift the towel stack, place it into the green rectangular tray, adjust its alignment, and press down firmly on the top of the stack. || Both hands withdraw from the green rectangular tray and rest idle near the edge of the table."
019e0de6-814d-7bcf-95f1-e618c37bcf09,CG-000009,critical,0,0,0.0,26.268,26.268,2,"1,2",8.333,20.333,12.0,0.457,"The left hand holds and pulls the left top corner of the blue hand towel, while the right hand holds the other towels steady. Then both hands hold the corners of the blue towel and lift it. Then the hands place the blue towel flat on the desk, the right hand folds the right top corner, and the left hand folds the left top corner towards the center of the blue towel, then both hands slide the towel slightly upward. Then the left hand folds the right bottom corner of the blue towel towards the center, while the right hand fixes the middle of the right side of the blue towel. Then both hands rotate the blue towel to the right, and the right hand folds the remaining corner towards the center of the blue towel. Then both hands hold the blue towel from the bottom and fold it towards the top, and hit the towel with both hands to straighten the folded towel. Then both hands rotate the towel towards the left. Then both hands hold the blue towel from the bottom and fold a quarter of it towards the top three times. Then both hands grab the folded blue towel, lift it, move it to the left, and place it inside a green tray. Then both hands move to the right to the other towels.
",Both hands grasp the top corners of the light blue hand towel and fold them downward to the center to form a point. || The left hand folds the left side of the light blue hand towel inward across the center while the right hand rests on the right side of the towel.
019e0de6-814c-7eec-bad8-b5a3b368ffd5,CG-000010,high,14,14,85.933,102.417,16.484,2,"15,16",87.84,97.8,9.96,0.604,"Both hands fold the left half of the folded yellow cloth to the center and then the right side to the center to form a compact square. Then, with both hands, they fold the left half over the right half, and both hands lift the fully folded yellow cloth, carry it to the left, and place it on top of the blue middle cloth in the grey plastic bin before the hands retract to the right.","Both hands reach out and grasp a yellow cloth from the pile on the right, carry it to the center, lay it flat onto the blue mat, and fold the top and bottom edges of the yellow cloth toward the center. || Both hands fold the left and right ends of the yellow cloth inward, fold the right half over the left half to complete the small square, lift the fully folded cloth from the mat, and place it into the white container."
